"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","World",2010,536.406
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","World",2023,640.738
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","World",2024,654.245
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","World",2035,744.085
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","World",2050,838.023
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2035,708.014
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2050,747.026
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","North America",2010,112.65
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","North America",2023,112.434
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","North America",2024,113.203
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2035,118.603
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2050,128.802
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2035,113.137
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","North America",2050,111.393
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","United States",2010,94.073
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","United States",2023,91.961
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","United States",2024,92.978
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2035,98.271
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2050,106.263
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2035,93.263
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","United States",2050,91.001
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","Central and South America",2010,26.653
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","Central and South America",2023,30.065
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","Central and South America",2024,30.443
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2035,36.618
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2050,46.468
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2035,35.283
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2050,41.827
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","Brazil",2010,12.16
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","Brazil",2023,14.568
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","Brazil",2024,14.958
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2035,18.111
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2050,22.884
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2035,17.354
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2050,20.156
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","Europe",2010,89.128
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","Europe",2023,74.161
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","Europe",2024,74.852
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2035,73.263
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2050,70.975
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2035,70.714
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2050,64.764
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","European Union",2010,64.51
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","European Union",2023,53.168
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","European Union",2024,53.453
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2035,50.662
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2050,46.644
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2035,49.187
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2050,43.009
