"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","World",2010,536.406
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","World",2023,640.738
"World Energy Outlook 2025","Historical","Energy","Total","Total energy supply","EJ","World",2024,654.245
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","World",2035,744.085
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","World",2040,776.503
"World Energy Outlook 2025","Current Policies Scenario","Energy","Total","Total energy supply","EJ","World",2050,838.023
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2035,708.014
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2040,717.493
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","World",2050,747.026
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Total","Total energy supply","EJ","World",2035,570.519
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Total","Total energy supply","EJ","World",2040,550.84
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Total","Total energy supply","EJ","World",2050,570.359
"World Energy Outlook 2025","Historical","Energy","Renewables","Total energy supply","EJ","World",2010,43.026
"World Energy Outlook 2025","Historical","Energy","Renewables","Total energy supply","EJ","World",2023,77.788
"World Energy Outlook 2025","Historical","Energy","Renewables","Total energy supply","EJ","World",2024,82.734
"World Energy Outlook 2025","Current Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2035,142.275
"World Energy Outlook 2025","Current Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2040,169.041
"World Energy Outlook 2025","Current Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2050,217.229
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2035,148.915
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2040,179.305
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2050,233.421
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Total energy supply","EJ","World",2035,223.672
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Total energy supply","EJ","World",2040,297.723
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Renewables","Total energy supply","EJ","World",2050,401.174
"World Energy Outlook 2025","Historical","Energy","Solar","Total energy supply","EJ","World",2010,0.774
"World Energy Outlook 2025","Historical","Energy","Solar","Total energy supply","EJ","World",2023,7.624
"World Energy Outlook 2025","Historical","Energy","Solar","Total energy supply","EJ","World",2024,9.41
"World Energy Outlook 2025","Current Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2035,35.492
"World Energy Outlook 2025","Current Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2040,46.856
"World Energy Outlook 2025","Current Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2050,66.185
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2035,39.573
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2040,54.478
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Solar","Total energy supply","EJ","World",2050,79.214
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Solar","Total energy supply","EJ","World",2035,66.221
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Solar","Total energy supply","EJ","World",2040,101.467
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Solar","Total energy supply","EJ","World",2050,148.006
"World Energy Outlook 2025","Historical","Energy","Wind","Total energy supply","EJ","World",2010,1.232
"World Energy Outlook 2025","Historical","Energy","Wind","Total energy supply","EJ","World",2023,8.399
"World Energy Outlook 2025","Historical","Energy","Wind","Total energy supply","EJ","World",2024,9.12
"World Energy Outlook 2025","Current Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2035,22.778
"World Energy Outlook 2025","Current Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2040,28.103
"World Energy Outlook 2025","Current Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2050,35.476
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2035,24.901
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2040,30.993
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Wind","Total energy supply","EJ","World",2050,39.568
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Wind","Total energy supply","EJ","World",2035,42.831
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Wind","Total energy supply","EJ","World",2040,59.785
